파일명,파일ID,카카오톡_전송용_URL,추출된_품번
14-54060-002.jpg,1DQSWWk0xDWG4y4woqwsPGmNCQ4Igmeve,https://drive.google.com/uc?export=view&id=1DQSWWk0xDWG4y4woqwsPGmNCQ4Igmeve,14-54060-002
14-01087-100.jpg,1vaqGc9RJGvT2XW6UmpurgG2meT4xdhgk,https://drive.google.com/uc?export=view&id=1vaqGc9RJGvT2XW6UmpurgG2meT4xdhgk,14-01087-100
14-10383-100.jpg,1onAMxiPIK_gmY7pbd9-wYrP7IRmpClHk,https://drive.google.com/uc?export=view&id=1onAMxiPIK_gmY7pbd9-wYrP7IRmpClHk,14-10383-100
14-01037-108.jpg,14v738sijHi6ZgSUYe9p4jwviZiXCJ7Gn,https://drive.google.com/uc?export=view&id=14v738sijHi6ZgSUYe9p4jwviZiXCJ7Gn,14-01037-108
14-54366-100.jpg,1jpOh2DH08ZgTYiSOUl7zoLUgalabV2dl,https://drive.google.com/uc?export=view&id=1jpOh2DH08ZgTYiSOUl7zoLUgalabV2dl,14-54366-100
14-10003-172.jpg,1I_jDg84euEnvt6VA1gm3k3JIVURhxS5T,https://drive.google.com/uc?export=view&id=1I_jDg84euEnvt6VA1gm3k3JIVURhxS5T,14-10003-172
14-10175-003.jpg,1jVrJtqvluoV5e3cliInEfc5hfBMgLz17,https://drive.google.com/uc?export=view&id=1jVrJtqvluoV5e3cliInEfc5hfBMgLz17,14-10175-003
14-10233-001.jpg,1rC292QeiY67nJzwfMN459uWXDrqALVlR,https://drive.google.com/uc?export=view&id=1rC292QeiY67nJzwfMN459uWXDrqALVlR,14-10233-001
14-10101-132.jpg,10LEHU-qtvaKuN_2c41vdtZm_LD5cLYy-,https://drive.google.com/uc?export=view&id=10LEHU-qtvaKuN_2c41vdtZm_LD5cLYy-,14-10101-132
14-10158-100.jpg,17_UwaODpf3LtbRmVaXamshZO01KYsxZG,https://drive.google.com/uc?export=view&id=17_UwaODpf3LtbRmVaXamshZO01KYsxZG,14-10158-100
14-10168-002.jpg,1WLxQsENr4NV0lSPt1Q0u8EVrxiEWV5P_,https://drive.google.com/uc?export=view&id=1WLxQsENr4NV0lSPt1Q0u8EVrxiEWV5P_,14-10168-002
14-10019-120.jpg,14ahfJaHczrtA4y_wzpXd30HzsGhPrUS9,https://drive.google.com/uc?export=view&id=14ahfJaHczrtA4y_wzpXd30HzsGhPrUS9,14-10019-120
14-10337-102.jpg,1fUM1jxF7QpEL5a3pNqKMWosahGhXSzO1,https://drive.google.com/uc?export=view&id=1fUM1jxF7QpEL5a3pNqKMWosahGhXSzO1,14-10337-102
14-10101-133.jpg,14euVgCdbBBOM6BQwHw3hmIrWm8QDuvAP,https://drive.google.com/uc?export=view&id=14euVgCdbBBOM6BQwHw3hmIrWm8QDuvAP,14-10101-133
14-10175-124.jpg,1qICRwwH3QmzxKWrEZ-6CZ04nwEriwdLe,https://drive.google.com/uc?export=view&id=1qICRwwH3QmzxKWrEZ-6CZ04nwEriwdLe,14-10175-124
14-20003-149.jpg,1h0Jyuc8AEcwKq04yIMk3fleiqaGpWECG,https://drive.google.com/uc?export=view&id=1h0Jyuc8AEcwKq04yIMk3fleiqaGpWECG,14-20003-149
14-10075-001.jpg,1ynUo8E-jCKtqEEsmulx89xZjcJCpvX2E,https://drive.google.com/uc?export=view&id=1ynUo8E-jCKtqEEsmulx89xZjcJCpvX2E,14-10075-001
14-14013-136.jpg,1osPzBBSjFWPgyVgqJHmDjkQqounUMJT8,https://drive.google.com/uc?export=view&id=1osPzBBSjFWPgyVgqJHmDjkQqounUMJT8,14-14013-136
14-10101-131.jpg,1zHYmxTwbJzzlGIONRxMSAjbERqVQ-YgU,https://drive.google.com/uc?export=view&id=1zHYmxTwbJzzlGIONRxMSAjbERqVQ-YgU,14-10101-131
14-10233-136.jpg,19qawXwicsG21XyEDSfcHDmzoW7ChDuHz,https://drive.google.com/uc?export=view&id=19qawXwicsG21XyEDSfcHDmzoW7ChDuHz,14-10233-136
14-10059-165.jpg,1ISq2XXtrqfg9H1eP09ET0XLnvxxJ5xbi,https://drive.google.com/uc?export=view&id=1ISq2XXtrqfg9H1eP09ET0XLnvxxJ5xbi,14-10059-165
14-10024-407.jpg,1lm8ub1GIYA6TyNpcYuXW3a0MKZ-ncvJI,https://drive.google.com/uc?export=view&id=1lm8ub1GIYA6TyNpcYuXW3a0MKZ-ncvJI,14-10024-407
14-16013-105.jpg,1lcLhZQ_pc3Zj7HtXrn8aIIc82B1MymfM,https://drive.google.com/uc?export=view&id=1lcLhZQ_pc3Zj7HtXrn8aIIc82B1MymfM,14-16013-105
14-10183-001.jpg,1kHPtMjHDVSfrJrx5VxNka2ySs5D37nfx,https://drive.google.com/uc?export=view&id=1kHPtMjHDVSfrJrx5VxNka2ySs5D37nfx,14-10183-001
14-20353-100.jpg,1uhrWSFFyhqlpJ3HLXPf3cQiiJTLxq_Xf,https://drive.google.com/uc?export=view&id=1uhrWSFFyhqlpJ3HLXPf3cQiiJTLxq_Xf,14-20353-100
14-10101-130.jpg,1Vv0K809nmWZrUqjghPXDdU8C7JAT0Dne,https://drive.google.com/uc?export=view&id=1Vv0K809nmWZrUqjghPXDdU8C7JAT0Dne,14-10101-130
14-23010-102.jpg,1l6bOmpCgxn6rkM-EDMbrNUqMc5OINF0g,https://drive.google.com/uc?export=view&id=1l6bOmpCgxn6rkM-EDMbrNUqMc5OINF0g,14-23010-102
14-10101-120.jpg,1re9HfTrAN0MaDN0q35pkvIwoNAhqhbGT,https://drive.google.com/uc?export=view&id=1re9HfTrAN0MaDN0q35pkvIwoNAhqhbGT,14-10101-120
14-54056-123.jpg,1XM-iivpWn4PqRfgvyxXR9mTy-2oSdQWQ,https://drive.google.com/uc?export=view&id=1XM-iivpWn4PqRfgvyxXR9mTy-2oSdQWQ,14-54056-123
14-22037-238.jpg,1HViHeaOoLYCabydiopCbRLsd3GOFJcXb,https://drive.google.com/uc?export=view&id=1HViHeaOoLYCabydiopCbRLsd3GOFJcXb,14-22037-238
14-20101-001.jpg,19Dwfs9JYh29cgsYxQ7AKK8hXPS7II9RL,https://drive.google.com/uc?export=view&id=19Dwfs9JYh29cgsYxQ7AKK8hXPS7II9RL,14-20101-001
14-10195-001.jpg,1VmgZGzF7dmCBVlCUtFMBSlhZgM_CGpCU,https://drive.google.com/uc?export=view&id=1VmgZGzF7dmCBVlCUtFMBSlhZgM_CGpCU,14-10195-001
14-50013-135.jpg,1JuVW_kP4J2n4suW_Lpzz4yhA0o-bZUD5,https://drive.google.com/uc?export=view&id=1JuVW_kP4J2n4suW_Lpzz4yhA0o-bZUD5,14-50013-135
