,»óÇ°±º,»óÇ°±º2,»ý¼ºÀÏÀÚ,´ëÇ¥»óÇ°ÄÚµå,»óÇ°¸í,»óÇ°ÄÚµå,ÀÌÀü»óÇ°ÄÚµå,º¯°æ»óÇ°ÄÚµå,½Ç¸°´õ NO,À¯»ç ½Ç¸°´õ¹øÈ£,ÃÖÁ¾»ý»êÁö,ÃÖÁ¾»ý»êÁö¸í,Lab No,B/P Type,B/P¹«°Ô,¿øÁÖ,ÆÞ,C/L,Gloss,Surface,Anti-Tape,1Â÷»ý»êÁö,1Â÷»ý»êÁö¸í,ºñ°í,Spec-Out,Spec-OutÀÏÀÚ,±¸ºÐ
1,[21] Dekwall Waxed,,,,Grain,05 020 00,,,,,,,,,,,,,,,,,,,,,·±´×
2,[1] ¸ð¾çÁö,,,,Cordoba Pine,14-01016-119,,,01016,,,,,,,,,,,,,,,,,,·±´×
3,[1] ¸ð¾çÁö,,,,Sacramento Pine,14-01615-123,,,01615,,,,,,,,,,,,,,,,Yes,20160721,·±´×
4,[1] ¸ð¾çÁö,,,,Sacramento Pine,14-01615-124,,,01615,,,,,,,,,,,,,,,,,,·±´×
5,[1] ¸ð¾çÁö,,,,White Alder,14-05002-108,,,05002,,,,,,,,,,,,,,,,,,·±´×
6,[1] ¸ð¾çÁö,,,,White Alde,14-05002-113,,,05002,,,,,,,,,,,,,,,,,,·±´×
7,[1] ¸ð¾çÁö,,,,Red Alder,14-05003-003,,,05003,,,,,,,,,,,,,,,,,,·±´×
8,[1] ¸ð¾çÁö,,,,Red Alder,14-05003-144,,,05003,,,,,,,,,,,,,,,,,,·±´×
9,[1] ¸ð¾çÁö,,,,Silver Birch,14-05012-100,,,05012,,,,,,,,,,,,,,,,,,·±´×
10,[1] ¸ð¾çÁö,,,,Kirkenes Birch,14-05036-100,,,05036,,,,,,,,,,,,,,,,,,·±´×
11,[1] ¸ð¾çÁö,,,,Erfurt Lime,14-05038-100,,,05038,,,,,,,,,,,,,,,,,,·±´×
12,[1] ¸ð¾çÁö,,,,Denver Oak,14-10001-105,,,10001,,,,,,,,,,,,,,,,,,·±´×
13,[1] ¸ð¾çÁö,,,,Colorado Oak,14-10004-100,,,10004,,,,,,,,,,,,,,,,,,·±´×
14,[1] ¸ð¾çÁö,,,,Colorado Oak,14-10004-102,,,10004,,,,,,,,,,,,,,,,,,·±´×
15,[1] ¸ð¾çÁö,,,,Rovere Elite,14-10008-102,,,10008,,,,,,,,,,,,,,,,,,·±´×
16,[1] ¸ð¾çÁö,,,,Rovere Elite,14-10008-103,,,10008,,,,,,,,,,,,,,,,,,·±´×
17,[1] ¸ð¾çÁö,,,,New Honey Oak,14-10012-103,,,10012,,,,,,,,,,,,,,,,,,·±´×
18,[1] ¸ð¾çÁö,,,,Nagoya Oak,14-10013-103,,,10013,,,,,,,,,,,,,,,,,,·±´×
19,[1] ¸ð¾çÁö,,,,Boston Oak,14-10023-105,,,10023,,,,,,,,,,,,,,,,,,·±´×
20,[1] ¸ð¾çÁö,,,,Niagara Oak,14-10024-216,,,10024,,,,,,,,,,,,,,,,,,·±´×
