정산일자,,L PRT,사업장,창고,품목구분,상품군,상품군2,품번,품명,펄,폭/규격,Roll No / Lot No,이전품번,OPEN,location,단위,사용,재고수량,PO 번호,생산지,INV#,,Year
20260119 ,1,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/HDF,리바트/사급/HDF,,4*8*4.5*E0/35형,2.02E+15,,Y,[재고]   ,매,사용,2,, ,,,
20260119 ,2,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/HDF,리바트/사급/HDF,,4*8*3*E0/35형,2.02E+15,,Y,[재고]   ,매,사용,1,, ,,,
20260119 ,3,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/MDF,리바트/사급/MDF,,4*8*22*E0/35형,2.02E+15,,Y,[재고]   ,매,사용,2,, ,,,
20260119 ,4,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/MDF,리바트/사급/MDF,,4*8*18*E0/35형,2.02E+15,,Y,[재고]   ,매,사용,20,, ,,,
20260119 ,5,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/MDF,리바트/사급/MDF,,4*8*18*E0/35형,2.02E+15,,N,[재고]   ,매,사용,70,, ,,,
20260119 ,6,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/MDF,리바트/사급/MDF,,4*8*18*E0/35형,2.02E+15,,N,[재고]   ,매,사용,70,, ,,,
20260119 ,7,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/MDF,리바트/사급/MDF,,4*8*18*E0/35형,2.02E+15,,N,[재고]   ,매,사용,70,, ,,,
20260119 ,8,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/MDF,리바트/사급/MDF,,4*8*18*E0/35형,2.02E+15,,N,[재고]   ,매,사용,70,, ,,,
20260119 ,9,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/MDF,리바트/사급/MDF,,4*8*18*E0/35형,2.02E+15,,N,[재고]   ,매,사용,70,, ,,,
20260119 ,10,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/MDF,리바트/사급/MDF,,4*8*18*E0/35형,2.02E+15,,N,[재고]   ,매,사용,70,, ,,,
20260119 ,11,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/MDF,리바트/사급/MDF,,4*8*18*E0/35형,2.02E+15,,N,[재고]   ,매,사용,70,, ,,,
20260119 ,12,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/MDF,리바트/사급/MDF,,4*8*18*E0/35형,2.02E+15,,N,[재고]   ,매,사용,70,, ,,,
20260119 ,13,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/MDF,리바트/사급/MDF,,4*8*18*E0/35형,2.02E+15,,N,[재고]   ,매,사용,70,, ,,,
20260119 ,14,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/MDF,리바트/사급/MDF,,4*8*18*E0/35형,2.02E+15,,N,[재고]   ,매,사용,70,, ,,,
